PNU,건축연령,관내,전월세_평균_보증금(만원),기준금리(연%),전월세_평균_월세(만원),전월세_건수,공원_최단거리,교육_최단거리,유통_최단거리,매수자_법인,매도자_개인,매도자_M,거래유형_직거래,계약일
1150010300110410016,6,1.0,18541.0,3.5,,10,1.5129,0.73597,22574.0,0.0,0.0,0.0,0.0,2024-04-03
1150010300110360001,6,1.0,17911.53846153846,2.75,,13,0.74192,0.65369,25552.0,0.0,1.0,0.0,0.0,2025-02-26
1150010300104100036,22,,15864.285714285714,,,7,,,,,,,,
1150010300104100036,22,,15864.285714285714,,,7,,,,,,,,
1150010300109950015,23,1.0,9000.0,3.5,,3,0.32918,0.82553,25095.0,0.0,0.0,1.0,0.0,2023-02-13
1150010300110980014,12,,16408.5,,,4,,,,,,,,
1150010300100560473,22,1.0,14220.0,2.5,,3,,,,0.0,1.0,0.0,0.0,2025-08-18
1150010300100560123,33,1.0,10331.25,3.5,,4,,,,0.0,0.0,1.0,0.0,2023-12-18
1150010300105040040,1,0.0,13090.90909090909,3.5,,11,1.01011,0.54377,60287.0,0.0,1.0,0.0,1.0,2024-09-09
1150010300110140036,22,0.0,13100.0,3.5,,2,,,,0.0,0.0,1.0,1.0,2023-09-26
1150010300108640045,11,1.0,15080.0,2.5,,5,,,,0.0,1.0,0.0,0.0,2025-10-10
1150010300103550041,2,0.0,24705.76923076923,3.25,,26,0.81546,1.4599,23663.0,0.0,1.0,0.0,1.0,2024-10-30
1150010300110550017,3,,21580.0,,,5,,,,,,,,
1150010300103550041,2,0.0,24705.76923076923,3.25,,26,0.81546,1.4599,23663.0,0.0,1.0,0.0,1.0,2024-10-30
1150010300109950015,23,1.0,9000.0,3.5,,3,0.32918,0.82553,25095.0,0.0,0.0,1.0,0.0,2023-02-13
1150010300100460175,31,1.0,9166.666666666666,3.5,,3,0.34954,1.10075,27131.0,0.0,1.0,0.0,0.0,2024-04-04
1150010300103800012,7,0.0,19068.75,3.5,,8,1.30743,0.66241,13543.0,0.0,1.0,0.0,1.0,2024-08-19
1150010300103670012,7,1.0,15106.25,3.0,,8,1.15688,1.36221,26760.0,0.0,1.0,0.0,0.0,2024-11-28
1150010300103930009,7,,15653.6,,,10,,,,,,,,
1150010300111200008,7,0.0,16520.0,3.5,,5,0.66436,0.69831,25851.0,0.0,0.0,1.0,1.0,2023-04-28
1150010300110530017,24,1.0,17675.0,3.5,,4,1.07385,0.87046,25675.0,0.0,1.0,0.0,0.0,2024-06-26
1150010300100860002,23,0.0,12033.333333333334,3.5,,3,,,,0.0,0.0,1.0,1.0,2023-02-17
1150010300101580003,31,1.0,11925.0,3.5,,4,0.43719,0.82234,26227.0,0.0,0.0,1.0,0.0,2023-08-26
1150010300104300022,26,,11733.333333333334,,,6,,,,,,,,
1150010300103920070,23,0.0,15654.3,2.75,,10,1.24116,1.0668,23890.0,0.0,1.0,0.0,0.0,2025-04-09
1150010300109690013,12,0.0,11350.0,2.5,,2,,,,0.0,1.0,0.0,0.0,2025-06-30
1150010300101050022,13,1.0,17133.333333333332,2.5,,3,1.41157,0.65368,111298.0,0.0,1.0,0.0,0.0,2025-05-28
1150010300100980034,27,,17500.0,,,1,,,,,,,,
1150010300104800014,1,,23422.727272727272,,,22,,,,,,,,
1150010300101640010,17,1.0,15315.0,2.5,,10,0.13482,0.26758,23247.0,0.0,1.0,0.0,0.0,2025-07-22
1150010300103620152,8,1.0,17357.14285714286,2.5,,7,,,,0.0,1.0,0.0,0.0,2025-07-02
